18,5,-55
18,16,-55
18,5,-50
18,16,-50
18,5,-45
18,16,-45
18,8,-41
18,11,-40
18,14,-40
23,5,-55
23,16,-55
23,5,-50
23,16,-50
23,5,-45
23,16,-45
23,8,-41
23,11,-40
23,14,-40
28,5,-55
28,16,-55
28,5,-50
28,16,-50
28,5,-45
28,16,-45
28,8,-41
28,11,-40
28,14,-40
33,5,-55
33,16,-55
33,5,-50
33,16,-50
33,5,-45
33,16,-45
33,8,-41
33,11,-40
33,14,-40
38,5,-55
38,16,-55
38,5,-50
38,16,-50
38,5,-45
38,16,-45
38,8,-41
38,11,-40
38,14,-40
18,29,-55
18,32,-55
18,35,-54
18,26,-52
18,38,-52
18,29,-49
18,32,-48
18,35,-47
18,38,-45
18,25,-44
18,28,-41
18,35,-41
18,31,-40
23,29,-55
23,32,-55
23,35,-54
23,26,-52
23,38,-52
23,29,-49
23,32,-48
23,35,-47
23,38,-45
23,25,-44
23,28,-41
23,35,-41
23,31,-40
28,29,-55
28,32,-55
28,35,-54
28,26,-52
28,38,-52
28,29,-49
28,32,-48
28,35,-47
28,38,-45
28,25,-44
28,28,-41
28,35,-41
28,31,-40
33,29,-55
33,32,-55
33,35,-54
33,26,-52
33,38,-52
33,29,-49
33,32,-48
33,35,-47
33,38,-45
33,25,-44
33,28,-41
33,35,-41
33,31,-40
38,29,-55
38,32,-55
38,35,-54
38,26,-52
38,38,-52
38,29,-49
38,32,-48
38,35,-47
38,38,-45
38,25,-44
38,28,-41
38,35,-41
38,31,-40
18,49,-55
18,52,-55
18,55,-54
18,46,-53
18,58,-51
18,44,-48
18,57,-44
18,45,-43
18,48,-41
18,51,-40
18,54,-40
23,49,-55
23,52,-55
23,55,-54
23,46,-53
23,58,-51
23,44,-48
23,57,-44
23,45,-43
23,48,-41
23,51,-40
23,54,-40
28,49,-55
28,52,-55
28,55,-54
28,46,-53
28,58,-51
28,44,-48
28,57,-44
28,45,-43
28,48,-41
28,51,-40
28,54,-40
33,49,-55
33,52,-55
33,55,-54
33,46,-53
33,58,-51
33,44,-48
33,57,-44
33,45,-43
33,48,-41
33,51,-40
33,54,-40
38,49,-55
38,52,-55
38,55,-54
38,46,-53
38,58,-51
38,44,-48
38,57,-44
38,45,-43
38,48,-41
38,51,-40
38,54,-40
